Protein,10B_32 Protein Abundance,10NB_47 Protein Abundance,13B_46 Protein Abundance,13NB_33 Protein Abundance,21B_43 Protein Abundance,21NB_30 Protein Abundance,26B_28 Protein Abundance,26NB_45 Protein Abundance,66B_44 Protein Abundance,66NB_29 Protein Abundance,74B_31 Protein Abundance,74NB_48 Protein Abundance
lcl|c230880_g3_i5|m.15737,2.1280E+5,4.4318E+5,5.8617E+5,5.0487E+5,8.5061E+5,8.6948E+5,1.9141E+5,4.2780E+5,6.9296E+5,5.9093E+5,6.4932E+5,8.3390E+5
lcl|c230953_g1_i2|m.15824,6.2517E+5,6.2101E+5,5.6564E+5,3.6234E+5,3.5809E+5,2.4070E+5,3.4479E+5,4.1584E+5,4.6634E+5,6.4505E+5,2.8265E+4,1.3521E+5
lcl|c230960_g1_i5|m.15839,4.7748E+5,7.8564E+5,7.8823E+5,7.2610E+5,4.8948E+5,6.6043E+5,5.9363E+5,1.1905E+6,8.3917E+5,1.4528E+6,7.4519E+5,8.7107E+5
lcl|c231030_g9_i1|m.15904,1.1569E+6,1.6527E+6,1.4413E+6,1.4080E+6,1.6869E+6,1.7303E+6,8.5754E+5,1.7475E+6,1.6595E+6,2.0801E+6,1.8030E+6,2.1517E+6
lcl|c231043_g3_i3|m.15924,1.2800E+6,1.4303E+6,1.2081E+6,1.7830E+6,9.8130E+5,1.0406E+6,8.8007E+5,1.6566E+6,1.3577E+6,1.6748E+6,1.4455E+6,2.2954E+6
lcl|c231043_g3_i4|m.15925,6.5203E+5,1.0524E+6,7.7879E+5,8.9536E+5,5.2488E+5,7.0045E+5,4.2510E+5,1.1073E+6,7.7885E+5,1.2397E+6,8.5852E+5,1.3429E+6
lcl|c231052_g3_i3|m.15929,1.5136E+6,2.1232E+6,1.2596E+6,1.2365E+6,1.3547E+6,1.6637E+6,1.0486E+6,2.6050E+6,1.6807E+6,2.0492E+6,1.8202E+6,1.8981E+6
lcl|c231068_g6_i2|m.15939,6.7037E+6,9.8551E+6,8.1013E+6,9.2289E+6,8.0148E+6,9.1924E+6,5.2571E+6,1.0067E+7,8.2905E+6,1.3608E+7,9.7934E+6,1.3134E+7
lcl|c231083_g2_i1|m.15952,5.7421E+5,8.7680E+5,6.9377E+5,8.6587E+5,1.0429E+6,1.3234E+6,8.2678E+5,1.8532E+6,1.1016E+6,1.7065E+6,1.0878E+6,1.4280E+6
lcl|c231142_g1_i2|m.15992,8.6358E+5,1.1906E+6,9.9725E+5,8.7075E+5,7.7741E+5,8.6789E+5,5.9213E+5,1.3493E+6,8.1451E+5,1.0650E+6,9.1906E+5,1.0518E+6
