Protein,10B_23 Protein Abundance,10NB_13 Protein Abundance,13B_07 Protein Abundance,13NB_22 Protein Abundance,21B_17 Protein Abundance,21NB_09 Protein Abundance,26B_21 Protein Abundance,26NB_15 Protein Abundance,66B_14 Protein Abundance,66NB_16 Protein Abundance,74B_08 Protein Abundance,74NB_20 Protein Abundance
lcl|c223849_g2_i2|m.9432,5.8169E+5,3.2585E+6,2.6589E+6,1.4290E+6,4.6602E+6,3.3123E+6,1.5938E+6,1.6884E+6,2.0969E+6,3.1093E+6,3.0735E+6,2.0609E+6
lcl|c223865_g4_i1|m.9444,2.3545E+6,4.5699E+6,5.0418E+6,5.4459E+6,5.6366E+6,6.4685E+6,1.6267E+6,2.5339E+6,2.0460E+6,7.9247E+6,3.4762E+6,4.8689E+6
lcl|c223870_g1_i6|m.9447,4.4035E+6,3.7911E+6,2.3000E+6,3.2023E+6,2.3069E+6,3.8336E+6,2.2673E+6,5.0915E+6,1.2856E+6,6.0930E+6,3.3456E+6,3.9442E+6
lcl|c223971_g2_i1|m.9513,7.7987E+5,1.4841E+6,1.1352E+6,1.2818E+6,1.6398E+6,1.6839E+6,4.4282E+5,6.1428E+5,7.3076E+5,2.3333E+6,9.3911E+5,1.4647E+6
lcl|c223990_g2_i1|m.9532,2.4906E+6,3.9848E+6,5.2495E+6,4.8407E+6,4.1441E+6,4.8807E+6,2.6212E+6,3.3103E+6,2.7570E+6,6.4797E+6,4.3228E+6,4.2866E+6
lcl|c224029_g4_i1|m.9563,9.4142E+5,9.9395E+5,1.4227E+6,1.0702E+6,8.4490E+5,1.0279E+6,1.0797E+6,1.7305E+6,1.0862E+6,1.6225E+6,1.6142E+6,1.1695E+6
lcl|c224093_g2_i2|m.9595,8.7461E+5,2.8783E+6,2.8679E+6,3.7173E+6,4.5112E+6,4.4921E+6,7.5231E+5,7.5163E+5,5.4181E+5,4.3697E+6,2.7584E+6,5.0219E+6
lcl|c224182_g8_i1|m.9652,3.0477E+5,1.9471E+5,8.5791E+4,2.3749E+5,1.6108E+5,1.7008E+5,2.2966E+5,3.2014E+5,1.7309E+5,3.0625E+5,1.8263E+5,2.7863E+5
lcl|c224201_g3_i8|m.9658,5.2667E+7,5.9946E+7,8.6886E+7,1.1392E+8,1.2402E+8,1.0675E+8,4.2075E+7,2.8331E+7,2.9852E+7,9.2329E+7,6.2188E+7,1.9967E+8
lcl|c224242_g3_i7|m.9677,3.7811E+6,3.5589E+6,4.2866E+6,6.4751E+6,3.6585E+6,5.4749E+6,2.7625E+6,2.6952E+6,2.0178E+6,6.7854E+6,4.5593E+6,9.2783E+6
lcl|c224263_g3_i1|m.9688,1.2076E+6,1.6446E+6,1.2828E+6,1.1043E+6,1.1145E+6,1.7060E+6,8.8393E+5,1.5272E+6,1.0304E+6,1.9879E+6,1.4032E+6,1.3033E+6
lcl|c224289_g1_i1|m.9705,3.7025E+6,3.6468E+6,3.1096E+6,2.8822E+6,3.4285E+6,3.8949E+6,3.1649E+6,3.2465E+6,2.9733E+6,4.4036E+6,4.4012E+6,3.4043E+6
lcl|c224332_g10_i1|m.9746,4.3316E+6,3.6454E+6,4.8867E+6,5.3363E+6,3.9725E+6,4.0247E+6,4.2900E+6,5.2615E+6,3.5212E+6,5.6901E+6,4.6847E+6,4.2364E+6
lcl|c224432_g1_i4|m.9787,9.4291E+6,9.7676E+6,9.5511E+6,1.0790E+7,1.0025E+7,1.2715E+7,5.7169E+6,9.5082E+6,6.1448E+6,1.4273E+7,1.2450E+7,1.4405E+7
lcl|c224456_g4_i3|m.9819,5.3005E+5,3.9830E+5,4.6744E+5,4.5535E+5,4.6544E+5,4.8023E+5,3.5753E+5,6.2442E+5,3.8922E+5,5.5357E+5,6.9453E+5,6.5597E+5
lcl|c224457_g1_i1|m.9820,1.1810E+6,5.4682E+5,9.0881E+5,8.8915E+5,9.9308E+5,1.1450E+6,1.1443E+6,1.2872E+6,2.6804E+5,7.4254E+5,6.0965E+5,4.8892E+5
lcl|c224457_g4_i1|m.9823,2.1521E+6,1.7143E+6,5.7148E+5,9.3722E+5,1.7211E+6,1.4552E+6,1.6117E+6,2.9192E+6,1.6687E+6,1.6927E+6,1.8342E+6,1.7916E+6
lcl|c224498_g4_i2|m.9859,7.0543E+5,4.8350E+5,4.6543E+5,4.5900E+5,7.4767E+5,8.2653E+5,5.6939E+5,6.1712E+5,8.4527E+5,8.8455E+5,8.3463E+5,7.4619E+5
lcl|c224580_g1_i1|m.9970,7.0691E+5,1.0138E+6,1.8845E+6,3.4286E+6,5.3172E+6,2.8995E+6,5.9822E+5,1.8847E+5,9.1899E+5,2.8163E+6,2.1455E+6,4.4586E+6
lcl|c224597_g3_i1|m.10003,7.6028E+6,1.0902E+7,5.7672E+6,6.5236E+6,5.4402E+6,9.3928E+6,5.7191E+6,1.2865E+7,6.0336E+6,1.1865E+7,1.0894E+7,1.0860E+7
lcl|c224624_g2_i1|m.10023,2.0244E+6,3.5624E+6,3.1078E+6,3.1427E+6,3.6697E+6,4.7790E+6,1.6053E+6,3.3130E+6,2.0894E+6,5.1296E+6,3.3764E+6,4.4417E+6
lcl|c224667_g2_i1|m.10051,1.3193E+6,8.6903E+5,5.7319E+5,4.2642E+5,1.1247E+6,1.3741E+6,7.5474E+5,1.2133E+6,8.3480E+5,1.6746E+6,1.0488E+6,1.0504E+6
lcl|c224672_g1_i1|m.10055,5.1636E+6,5.6899E+6,3.5344E+6,5.8718E+6,2.9854E+6,3.9898E+6,2.7838E+6,6.8212E+6,4.4779E+6,7.5790E+6,6.4680E+6,7.6085E+6
lcl|c224672_g2_i1|m.10058,4.9216E+6,4.5238E+6,4.2888E+6,5.7264E+6,3.6699E+6,5.3859E+6,3.0597E+6,6.4061E+6,5.5527E+6,1.0330E+7,6.6730E+6,7.8907E+6
lcl|c224694_g1_i1|m.10068,2.6984E+5,4.6338E+5,1.6865E+5,3.0242E+5,1.2269E+5,2.2879E+5,1.8329E+5,7.0866E+5,6.2602E+5,8.2955E+5,4.9354E+5,6.3791E+5
lcl|c224698_g7_i11|m.10070,3.9091E+5,5.5677E+5,1.1870E+6,8.5858E+5,7.0053E+5,8.3559E+5,7.5975E+5,1.0230E+6,8.3380E+5,1.4246E+6,6.3557E+5,5.2233E+5
lcl|c224698_g7_i8|m.10072,2.9013E+6,3.7857E+6,1.0710E+7,7.1345E+6,6.2946E+6,7.7556E+6,5.8758E+6,1.0450E+7,6.5753E+6,9.1818E+6,3.5701E+6,2.6552E+6
lcl|c224713_g2_i1|m.10075,4.4113E+6,6.4126E+6,5.0929E+6,6.1716E+6,2.2536E+6,2.6852E+6,3.3792E+6,6.0551E+6,3.1053E+6,7.9848E+6,8.2511E+6,8.3829E+6
lcl|c224772_g1_i1|m.10116,2.6105E+6,2.4735E+6,2.3990E+6,1.9284E+6,2.0268E+6,2.0949E+6,1.9603E+6,2.6491E+6,1.6846E+6,2.1368E+6,2.1254E+6,2.4275E+6
lcl|c224772_g1_i1|m.10117,3.2984E+6,2.1925E+6,2.0097E+6,2.5270E+6,2.2363E+6,2.2803E+6,2.2174E+6,2.9740E+6,1.2755E+6,2.1592E+6,2.0093E+6,2.5869E+6
lcl|c224781_g7_i2|m.10124,9.6475E+6,7.1570E+6,5.4565E+6,7.8298E+6,6.5216E+6,8.8969E+6,6.1991E+6,9.8139E+6,4.7514E+6,8.8150E+6,1.0478E+7,1.3108E+7
lcl|c224820_g6_i4|m.10156,1.0082E+6,1.2870E+6,9.5390E+5,6.7769E+5,9.4271E+5,1.3426E+6,9.6183E+5,1.4953E+6,6.3913E+5,1.4212E+6,1.4349E+6,1.2293E+6
lcl|c224863_g5_i1|m.10190,2.4516E+7,1.9839E+7,1.7836E+7,2.1719E+7,1.8408E+7,2.4701E+7,1.5906E+7,2.6697E+7,1.8641E+7,2.9528E+7,2.8519E+7,2.8673E+7
lcl|c224880_g4_i1|m.10208,2.4952E+6,4.0449E+6,2.7910E+6,2.7067E+6,2.4828E+6,3.4357E+6,1.3186E+6,2.7905E+6,1.6079E+6,3.3511E+6,2.3781E+6,2.7426E+6
lcl|c224890_g1_i1|m.10217,1.9803E+6,2.1568E+6,1.5825E+6,1.6788E+6,2.5411E+6,3.2092E+6,1.9921E+6,2.8254E+6,1.9519E+6,2.7293E+6,1.8033E+6,1.2567E+6
