Protein,LogFoldChange,Zstatistic,Name,Function
lcl|c223277_g3_i4|m.8995,-1.164,-3.2331,NA,NA
lcl|c223351_g1_i1|m.9046,-0.719,-2.4006,NA,NA
lcl|c223355_g1_i3|m.9051,-0.604,-2.6511,NA,NA
lcl|c223433_g6_i1|m.9115,-1.712,-8.362,NA,NA
lcl|c223448_g1_i3|m.9130,-1.228,-3.2041,NA,NA
lcl|c223475_g2_i9|m.9154,-1.252,-3.0148,NA,NA
lcl|c223556_g1_i6|m.9203,-0.565,-2.2434,NA,NA
lcl|c223604_g1_i1|m.9235,-0.921,-2.3274,NA,NA
lcl|c223616_g1_i1|m.9252,-2.87,-9.83,NA,NA
lcl|c223716_g4_i1|m.9328,-1.987,-6.2295,NA,NA
lcl|c223808_g2_i1|m.9405,-0.626,-2.5194,NA,NA
lcl|c223865_g4_i2|m.9445,-1.08,-6.7863,NA,NA
lcl|c223870_g1_i6|m.9447,0.959,5.0962,NA,NA
lcl|c223971_g2_i1|m.9513,-1.926,-5.2702,NA,NA
lcl|c223990_g2_i1|m.9532,-1.675,-4.6884,NA,NA
lcl|c224182_g8_i1|m.9652,-1.468,-4.1173,NA,NA
lcl|c224226_g3_i4|m.9666,-2.053,-6.3715,NA,NA
lcl|c224242_g3_i7|m.9677,-1.366,-6.8436,NA,NA
lcl|c224260_g2_i3|m.9686,-0.849,-2.4562,NA,NA
lcl|c224263_g3_i3|m.9691,-1.184,-4.6472,NA,NA
lcl|c224289_g1_i1|m.9705,-1.792,-7.3732,NA,NA
lcl|c224332_g10_i1|m.9746,-1.272,-4.1696,NA,NA
lcl|c224432_g1_i4|m.9787,-1.053,-10.3729,NA,NA
lcl|c224456_g4_i3|m.9819,-1.622,-4.4572,NA,NA
lcl|c224457_g1_i1|m.9820,0.769,2.8875,NA,NA
lcl|c224457_g3_i2|m.9821,-1.376,-3.4069,NA,NA
lcl|c224541_g6_i2|m.9899,-0.769,-2.5323,NA,NA
lcl|c224574_g1_i7|m.9961,-1.135,-2.7687,NA,NA
lcl|c224597_g3_i1|m.10003,-1.037,-5.826,NA,NA
lcl|c224672_g1_i1|m.10055,0.556,3.715,NA,NA
lcl|c224672_g2_i1|m.10058,0.617,6.8225,NA,NA
lcl|c224713_g2_i1|m.10075,-0.541,-2.6905,NA,NA
lcl|c224772_g1_i1|m.10116,-2.363,-7.1921,NA,NA
lcl|c224781_g7_i2|m.10124,-1.47,-5.1559,NA,NA
lcl|c224890_g1_i1|m.10217,-2.141,-7.6141,NA,NA
lcl|c224995_g6_i2|m.10289,-0.769,-2.339,NA,NA
lcl|c225098_g3_i9|m.10362,-2.307,-8.3718,NA,NA
lcl|c225136_g5_i9|m.10397,-1.364,-3.3182,NA,NA
lcl|c225222_g1_i4|m.10453,-1.371,-3.422,NA,NA
lcl|c225236_g1_i2|m.10460,-1.169,-6.3191,NA,NA
lcl|c225281_g3_i2|m.10487,-1.011,-3.6262,NA,NA
lcl|c225323_g2_i2|m.10522,0.57,4.8077,NA,NA
lcl|c225423_g3_i2|m.10600,-2.172,-7.0557,NA,NA
lcl|c225478_g2_i2|m.10668,-2.21,-6.3517,NA,NA
lcl|c225590_g2_i4|m.10752,-0.778,-5.0068,NA,NA
lcl|c225618_g2_i6|m.10783,-2.586,-19.1011,NA,NA
lcl|c225632_g3_i1|m.10790,-0.844,-7.6132,NA,NA
lcl|c225713_g4_i1|m.10851,-1.285,-4.0004,NA,NA
lcl|c225761_g6_i1|m.10925,-1.144,-6.0884,NA,NA
lcl|c225789_g4_i1|m.10946,-1.109,-3.6271,NA,NA
lcl|c225859_g2_i6|m.10997,-1.809,-5.032,NA,NA
lcl|c225867_g3_i1|m.11000,-2.841,-9.7651,NA,NA
lcl|c225983_g2_i10|m.11114,-2.473,-7.209,NA,NA
lcl|c226009_g3_i5|m.11131,-2.446,-7.1304,NA,NA
lcl|c226079_g3_i1|m.11186,-1.034,-4.3005,NA,NA
lcl|c226189_g2_i2|m.11277,-1.852,-5.8214,NA,NA
lcl|c226211_g2_i1|m.11296,-1.693,-4.4998,NA,NA
lcl|c226216_g1_i2|m.11298,0.711,3.361,NA,NA
lcl|c226303_g1_i2|m.11380,-1.749,-5.1618,NA,NA
lcl|c226346_g1_i1|m.11426,-0.689,-2.1344,NA,NA
lcl|c226389_g3_i1|m.11454,-0.685,-2.0771,NA,NA
lcl|c226414_g3_i1|m.11460,1.174,4.7555,NA,NA
lcl|c226450_g3_i4|m.11486,-0.543,-5.1678,NA,NA
lcl|c226593_g2_i1|m.11607,-2.137,-9.3721,NA,NA
lcl|c226607_g5_i2|m.11621,-0.58,-3.3918,NA,NA
lcl|c226715_g5_i2|m.11728,-0.718,-2.21,NA,NA
