Proteins,moduleColor,p.MM.turquoise,p.MM.blue,p.MM.grey
tr|A0A1Q9C9B1|A0A1Q9C9B1_SYMMI,blue,0.837063751,0.000129672,0.350562377
lcl|c236955_g1_i2|m.22718,blue,0.873105016,0.048467406,0.084931862
lcl|c236286_g4_i1|m.21959,blue,0.827825189,0.129298154,0.720835596
lcl|c236844_g2_i5|m.22607,blue,0.398022609,0.008031998,0.41922584
lcl|c215979_g2_i1|m.4331,blue,0.783555926,0.001668589,0.947506244
lcl|c216129_g1_i2|m.4409,blue,0.207363,0.133110483,0.585850244
lcl|c221832_g4_i5|m.7893,blue,0.893305133,0.001716588,0.880187875
lcl|c236780_g2_i2|m.22510,blue,0.589903684,0.001925651,0.629664846
lcl|c220319_g5_i1|m.6862,blue,0.50297055,0.225326436,0.374056903
lcl|c230102_g4_i1|m.14957,blue,0.162649042,0.013056232,0.213898097
WP_183196559.1,blue,0.742701068,0.058629109,0.758116472
lcl|c224580_g1_i1|m.9970,blue,0.802847185,0.001238246,0.767169603
lcl|c244347_g1_i1|m.32074,blue,0.415523139,0.004707304,0.534056233
tr|Q76EI0|Q76EI0_9DINO,blue,0.421008781,0.059931752,0.694151902
lcl|c237043_g2_i1|m.22823,blue,0.707181169,0.054451056,0.588601277
lcl|c241569_g1_i5|m.28720,blue,0.380793487,0.085492653,0.824844673
lcl|c229482_g2_i3|m.14286,blue,0.648193921,0.055817722,0.469934586
lcl|c241874_g1_i1|m.29044,blue,0.736814999,0.03504451,0.90740062
lcl|c221396_g5_i1|m.7603,blue,0.536394273,0.030530648,0.580244918
lcl|c238912_g1_i4|m.25063,blue,0.294003555,0.037104219,0.860737797
lcl|c241874_g1_i1|m.29043,grey,0.167492785,0.28126872,0.002019883
lcl|c238156_g5_i4|m.24180,grey,0.064845537,0.079811362,0.598698506
lcl|c217887_g8_i2|m.5422,grey,0.18597464,0.477336996,0.308955234
tr|R4QWT4|R4QWT4_SYMKA,grey,0.033636635,0.63346443,0.846333865
lcl|c232386_g2_i1|m.17314,grey,0.422547432,0.821351539,0.586113166
lcl|c226846_g2_i3|m.11856,grey,0.06582256,0.065068983,0.373522395
lcl|c225352_g1_i1|m.10544,grey,0.175708418,0.96642921,0.575319355
lcl|c233774_g10_i1|m.19002,grey,0.283944226,0.270596118,0.821660242
lcl|c237420_g3_i1|m.23247,grey,0.110771541,0.885484397,0.592176897
lcl|c230386_g2_i1|m.15223,grey,0.380793997,0.866084338,0.796049889
lcl|c228390_g1_i2|m.13299,grey,0.001736742,0.327760773,0.062392626
lcl|c206182_g1_i1|m.1515,grey,0.096975147,0.598916302,0.982822422
tr|A0A0A0N2N8|A0A0A0N2N8_9DINO,grey,0.356516003,0.300283464,9.62E-05
lcl|c227758_g2_i4|m.12736,grey,0.140429527,0.951041537,0.70311088
lcl|c236955_g1_i6|m.22719,grey,0.334079986,0.203305538,0.060397976
tr|D1MW22|D1MW22_9DINO,grey,0.028782499,0.130040959,0.007993978
lcl|c216598_g2_i1|m.4667,grey,0.691109683,0.40672972,0.321580618
lcl|c218872_g2_i3|m.6012,grey,0.046321385,0.228147998,0.006892
lcl|c238676_g4_i2|m.24803,grey,0.053481247,0.357090449,0.050248129
lcl|c232660_g2_i7|m.17650,grey,0.276953407,0.891856568,0.31731534
tr|A0A1Q9EC21|A0A1Q9EC21_SYMMI,grey,0.987641719,0.698332459,0.965934404
lcl|c229056_g1_i4|m.13924,grey,0.147850758,0.681965061,0.854701527
lcl|c243813_g3_i2|m.31355,grey,0.089505795,0.791761561,0.191165468
lcl|c235563_g1_i10|m.21080,grey,0.374047622,0.476884523,0.070151937
lcl|c243774_g1_i2|m.31291,grey,0.939452993,0.083782422,0.010909503
lcl|c214573_g3_i1|m.3534,grey,0.020480294,0.340416472,0.08024811
lcl|c227762_g5_i1|m.12740,grey,0.861716725,0.412234445,0.763740655
lcl|c242709_g1_i2|m.30167,grey,0.913075789,0.074910492,0.007217133
lcl|c234474_g1_i1|m.19866,grey,0.237563763,0.160674345,0.154960619
lcl|c242581_g1_i1|m.29984,grey,0.40446659,0.658559159,0.616225722
lcl|c240483_g2_i3|m.27310,grey,0.912913439,0.315813859,0.590268645
lcl|c241251_g1_i1|m.28362,grey,0.120756421,0.803522204,0.990760596
tr|A0A1Q9C874|A0A1Q9C874_SYMMI,grey,0.253869378,0.220901924,2.63E-05
